구분,2015년_회수금액(억원),2016년_회수금액(억원),2017년_회수금액(억원),2018년_회수금액(억원),2019년_회수금액(억원),2020년_회수금액(억원),2021년_회수금액(억원),2022년_회수금액(억원),2023년_회수금액(억원),2024년_회수금액(억원)
서울,1460.6,2131.7,2257.8,2889.8,3449,6806.3,7281.2,6194.1,7288.1,9361.5
부산,1147,1647.9,1916.3,2454.1,2909.2,5808,5606.2,4010.3,5038.3,5475.8
대구,844.8,1246.4,1520.2,2013.8,2332.8,6066.5,5812.6,4460.2,5536.2,8124.6
인천,344.7,498.6,491.3,606.9,632.8,1352.6,1143,752.4,896.8,1107.9
광주,309.7,444.5,569.6,800.3,857,1331.2,1282.3,835.1,963.1,1308.1
대전,209.5,256.4,240,325.3,378.8,763.2,846.8,632.4,1008.6,1332.9
울산,286.1,463.6,386.4,576.1,544.5,976.9,1077.2,830.9,949.6,1108.7
세종,37.8,16.6,14.6,19.3,23.5,75.9,75,55.8,78,127.7
경기,758.3,1056,885.9,1134.8,1169.1,2087.1,2218,1566.3,2018,3473.5
강원,145.3,172.3,161.8,174.8,211.9,485.2,510.2,389.4,409.8,488.2
충북,160.7,161.7,146.1,187,216.9,393.9,451.9,307.5,388.8,498.1
충남,184.5,270.5,227.6,294.4,300.5,587.8,559.4,340.8,430.3,619.3
전북,460.7,610.6,615.5,749.6,800.3,1407.2,1286.2,853.1,972.5,1163.5
전남,320.4,430.5,392.5,529.3,565.9,1142.9,1212.5,792.2,882.3,998.3
경북,429.8,646.5,479.3,689.8,727.9,2056.4,1779.9,1219.9,1552.4,1854.4
경남,441.4,550.7,630.6,956.8,1124.6,2126.4,2053.6,1585.8,1843.8,2262.3
제주,79.7,100.6,102.2,130,148.3,377.8,297.5,164.1,233.9,287.7
